tcpi_state,tcpi_ca_state,tcpi_retransmits,tcpi_probes,tcpi_backoff,tcpi_options,tcpi_snd_wscale,tcpi_rcv_wscale,tcpi_rto,tcpi_ato,tcpi_snd_mss,tcpi_rcv_mss,tcpi_unacked,tcpi_sacked,tcpi_lost,tcpi_retrans,tcpi_fackets,tcpi_last_data_sent,tcpi_last_ack_sent,tcpi_last_data_recv,tcpi_last_ack_recv,tcpi_pmtu,tcpi_rcv_ssthresh,tcpi_rtt,tcpi_rttvar,tcpi_snd_ssthresh,tcpi_snd_cwnd,tcpi_advmss,tcpi_reordering,tcpi_rcv_rtt,tcpi_rcv_space,tcpi_total_retrans
1,0,0,0,0,7,4,4,384000,0,16384,536,12,0,0,0,0,56,0,24155320,56,16436,32792,163500,3000,26,14,16384,3,0,32792,0
1,0,0,0,0,7,4,4,384000,0,16384,536,12,0,0,0,0,108,0,24155372,108,16436,32792,163500,3000,26,14,16384,3,0,32792,0
1,0,0,0,0,7,4,4,384000,0,16384,536,12,0,0,0,0,156,0,24155420,156,16436,32792,163500,3000,26,14,16384,3,0,32792,0
1,0,0,0,0,7,4,4,380000,0,16384,536,18,0,0,0,0,48,0,24155472,48,16436,32792,163500,3000,26,18,16384,3,0,32792,0
1,0,0,0,0,7,4,4,380000,0,16384,536,18,0,0,0,0,100,0,24155524,100,16436,32792,163500,3000,26,18,16384,3,0,32792,0
1,0,0,0,0,7,4,4,380000,0,16384,536,18,0,0,0,0,148,0,24155572,148,16436,32792,163500,3000,26,18,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,15,0,0,0,0,40,0,24155624,40,16436,32792,163500,3000,26,21,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,15,0,0,0,0,88,0,24155672,88,16436,32792,163500,3000,26,21,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,15,0,0,0,0,140,0,24155724,140,16436,32792,163500,3000,26,21,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,28,0,24155772,28,16436,32792,163500,3000,26,23,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,80,0,24155824,80,16436,32792,163500,3000,26,23,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,132,0,24155876,132,16436,32792,163500,3000,26,23,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,20,0,24155924,20,16436,32792,163500,3000,26,25,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,72,0,24155976,72,16436,32792,163500,3000,26,25,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,120,0,24156024,120,16436,32792,163500,3000,26,25,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,12,0,24156076,12,16436,32792,163500,3000,26,26,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,64,0,24156128,64,16436,32792,163500,3000,26,26,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,112,0,24156176,112,16436,32792,163500,3000,26,26,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,25,0,0,0,0,0,0,24156228,0,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,25,0,0,0,0,48,0,24156276,48,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,25,0,0,0,0,100,0,24156328,100,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,25,0,0,0,0,152,0,24156380,152,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,40,0,24156428,40,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,92,0,24156480,92,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,140,0,24156528,140,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,32,0,24156580,32,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,84,0,24156632,84,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,132,0,24156680,132,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,24,0,24156732,24,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,76,0,24156784,76,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,124,0,24156832,124,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,16,0,24156884,16,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,64,0,24156932,64,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,116,0,24156984,116,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,8,0,24157036,8,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,56,0,24157084,56,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,108,0,24157136,108,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,156,0,24157184,156,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,48,0,24157236,48,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,100,0,24157288,100,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,148,0,24157336,148,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,40,0,24157388,40,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,88,0,24157436,88,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,140,0,24157488,140,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,28,0,24157536,28,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,80,0,24157588,80,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,18,0,0,0,0,128,0,24157636,128,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,20,0,24157688,20,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,72,0,24157740,72,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,27,0,0,0,0,120,0,24157788,120,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,8,0,24157840,12,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,56,0,24157888,60,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,108,0,24157940,112,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,156,0,24157988,160,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,48,0,24158040,48,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,100,0,24158092,100,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,148,0,24158140,148,16436,32792,164000,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,40,0,24158192,40,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,88,0,24158240,88,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,140,0,24158292,140,16436,32792,163500,3000,26,27,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,28,0,24158340,28,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,80,0,24158392,80,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,128,0,24158440,128,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,20,0,24158492,20,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,72,0,24158544,72,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,120,0,24158592,120,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,12,0,24158644,12,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,60,0,24158692,60,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,112,0,24158744,112,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,0,0,24158792,0,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,52,0,24158844,52,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,104,0,24158896,104,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,152,0,24158944,152,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,44,0,24158996,44,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,92,0,24159044,92,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,144,0,24159096,144,16436,32792,163500,3000,26,28,16384,3,0,32792,0
